,姓名,绩点,第1次课,第2次课,第3次课,第4次课,第5次课,第6次课,第7次课,第8次课,第9次课,第10次课,第11次课,第12次课,第13次课,第14次课,第15次课,第16次课,第17次课,第18次课,第19次课,第20次课
0,岳斌,2.476288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,黄桂兰,1.875992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,朱坤,3.226881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,丰健,1.638638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,黄梅,2.946033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,曹金凤,3.128013,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
6,胡健,3.024678,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
7,韩旭,2.770384,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
8,郭军,1.806170,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
9,唐杨,3.228825,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,刘秀珍,1.495362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,梁洋,3.208686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,吴健,3.026683,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,方建国,3.777925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,宋斌,2.300547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,杨桂芳,2.530130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,杨佳,1.846372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,薛桂芝,2.751849,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,卢浩,3.299578,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,吕萍,1.585119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,黄林,1.485969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,芦东,3.502164,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
22,杨文,2.937365,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
23,张超,0.901002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,叶燕,3.439131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,张志强,3.416459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,骆桂珍,2.865233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,袁建军,3.462553,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28,姚桂兰,2.790865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,高颖,2.750362,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,刘阳,1.389265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,闭建华,2.388139,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
32,吴兵,1.804833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,吕波,2.841692,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
34,蒋涛,3.122553,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,廖帆,2.775734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,连斌,2.030814,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,周利,1.741641,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
38,包帅,1.096433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
39,邓博,2.786139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,白秀英,3.299945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,杨鑫,2.278495,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,阮雪梅,2.809167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,俞杨,2.384271,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
